ImageName,ImageID,Year,coder1-encodings,coder2-encodings,coder1-hardness,coder2-hardness
VisC.6.9.png,I2Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.36.1.png,I22Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.36.2.png,I23Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.45.7.png,I30Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.45.9.png,I32Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.45.8.png,I31Y1990,1990,Point,Grid,Neutral,Hard
VisC.45.5.png,I34Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.51.1.png,I35Y1990,1990,Line,Line,Easy,Easy
VisC.51.6.png,I40Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.51.4.png,I38Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.51.3.png,I37Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.51.7.png,I41Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.51.5.png,I39Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.51.8.png,I42Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.67.10.png,I61Y1990,1990,Line,Line,Easy,Easy
VisC.74.5.png,I68Y1990,1990,Line,Line,Easy,Easy
VisC.83.1.png,I82Y1990,1990,Line,Line,Easy,Easy
VisC.83.7.png,I88Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.83.8.png,I89Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.83.10.png,I91Y1990,1990,Surface/Volume,Surface/Volume,Easy,Hard
VisC.83.9.png,I90Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.83.11.png,I92Y1990,1990,Point,Surface/Volume,Hard,Neutral
VisC.83.12.png,I93Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.97.3.png,I102Y1990,1990,Point,Point,Easy,Easy
VisC.97.4.png,I103Y1990,1990,Point,Point,Easy,Easy
VisC.97.6.png,I97Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.124.3.png,I115Y1990,1990,Glyph,Glyph,Hard,Neutral
VisC.124.6.png,I118Y1990,1990,Line,Line,Neutral,Easy
VisC.131.1.png,I119Y1990,1990,Node-link,Node-link,Easy,Easy
VisC.144.1.png,I122Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.144.2.png,I123Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.144.3.png,I124Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.150.6.png,I125Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.150.8.png,I128Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.150.9.png,I129Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.150.7.png,I127Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.168.5.png,I143Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Neutral
VisC.176.1.png,I144Y1990,1990,Area,Area,Neutral,Hard
VisC.176.10.png,I155Y1990,1990,Node-link,Node-link,Easy,Easy
VisC.187.2.png,I161Y1990,1990,Line,Line,Hard,Easy
VisC.187.1.png,I160Y1990,1990,Node-link,Node-link,Neutral,Easy
VisC.187.4.png,I163Y1990,1990,Node-link,Node-link,Easy,Easy
VisC.187.6.png,I165Y1990,1990,Node-link,Node-link,Easy,Neutral
VisC.187.7.png,I166Y1990,1990,Node-link,Node-link,Easy,Neutral
VisC.187.10.png,I169Y1990,1990,Node-link,Node-link,Easy,Easy
VisC.194.5.png,I183Y1990,1990,Glyph,Glyph,Hard,Easy
VisC.194.7.png,I185Y1990,1990,Point,Point,Easy,Neutral
VisC.202.13.png,I197Y1990,1990,Grid,Grid,Easy,Easy
VisC.202.14.png,I198Y1990,1990,Grid,Grid,Easy,Hard
VisC.209.3.png,I199Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.209.6.png,I202Y1990,1990,Line,Line,Neutral,Hard
VisC.209.5.png,I201Y1990,1990,Surface/Volume,Surface/Volume,Easy,Hard
VisC.209.8.png,I204Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.219.14.png,I208Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.219.15.png,I209Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.219.17.png,I211Y1990,1990,Surface/Volume,Surface/Volume,Easy,Neutral
VisC.219.2.png,I214Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.219.3.png,I215Y1990,1990,Pattern,Surface/Volume,Neutral,Easy
VisC.219.4.png,I216Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.238.1.png,I6521Y1990,1990,Grid,Grid,Neutral,Easy
VisC.238.2.png,I6522Y1990,1990,Grid,Glyph,Neutral,Neutral
VisC.247.4.png,I234Y1990,1990,Surface/Volume,Surface/Volume,Hard,Hard
VisC.247.5.png,I235Y1990,1990,Grid,Surface/Volume,Neutral,Easy
VisC.247.1.png,I231Y1990,1990,Surface/Volume,Surface/Volume,Easy,Hard
VisC.255.1.png,I238Y1990,1990,Line,Line,Neutral,Easy
VisC.255.2.png,I241Y1990,1990,Line,Line,Neutral,Neutral
VisC.255.4.png,I242Y1990,1990,Line,Line,Hard,Easy
VisC.255.6.png,I244Y1990,1990,Bar,Bar,Hard,Hard
VisC.263.6.png,I254Y1990,1990,Node-link,Node-link,Neutral,Neutral
VisC.263.7.png,I255Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.263.8.png,I256Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.263.9.png,I257Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.263.11.png,I259Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.263.10.png,I258Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.273.7.png,I266Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
VisC.273.4.png,I263Y1990,1990,Surface/Volume,Surface/Volume,Neutral,Easy
VisC.273.9.png,I268Y1990,1990,Surface/Volume,Surface/Volume,Easy,Easy
